arcId,groundStation,sat,meaCtrlST,meaCtrlET,feed
86,'Ё╓╢╨-2',нюпг-3,1553,2114,0
87,'Ё╓╢╨-2',нюпг-3,1553,2114,1
88,'Ё╓╢╨-1',нюпг-146,992,2180,0
89,'Ё╓╢╨-1',нюпг-146,992,2180,1
90,'╧Ч╤Ш╠У-1',нюпг-4,1091,2198,0
91,'╧Ч╤Ш╠У-1',нюпг-4,1091,2198,1
92,'ю╜хЬ-1',нюпг-73,1283,2275,0
93,'ю╜хЬ-1',нюпг-73,1283,2275,1
94,'╪яд╬к╧-1',нюпг-65,1067,2311,0
95,'╪яд╬к╧-1',нюпг-65,1067,2311,1
96,'додЧ-1',нюпг-46,1497,2427,0
97,'додЧ-1',нюпг-46,1497,2427,1
98,'иНшз-1',нюпг-56,1261,2442,0
99,'иНшз-1',нюпг-56,1261,2442,1
100,'гьаК-1',нюпг-154,1426,2448,0
101,'гьаК-1',нюпг-154,1426,2448,1
102,'©Б╤Шюу-1',нюпг-64,1296,2483,0
103,'©Б╤Шюу-1',нюпг-64,1296,2483,1
104,'ю╔цВ-2',нюпг-137,1333,2505,0
105,'ю╔цВ-2',нюпг-137,1333,2505,1
106,'жьгЛ-1',нюпг-73,1333,2523,0
107,'жьгЛ-1',нюпг-73,1333,2523,1
108,'╬фх╙-2',нюпг-145,1320,2557,0
109,'╬фх╙-2',нюпг-145,1320,2557,1
110,'©╕й╡-1',нюпг-153,1411,2608,0
111,'©╕й╡-1',нюпг-153,1411,2608,1
112,'м╜╢╗-2',нюпг-73,1445,2617,0
113,'м╜╢╗-2',нюпг-73,1445,2617,1
114,'╬фх╙-1',нюпг-64,1380,2618,0
115,'╬фх╙-1',нюпг-64,1380,2618,1
116,'╨ёдо-2',нюпг-137,1520,2663,0
117,'╨ёдо-2',нюпг-137,1520,2663,1
118,'╨ёдо-1',нюпг-137,1522,2665,0
119,'╨ёдо-1',нюпг-137,1522,2665,1
120,'╠╠╬╘-1',нюпг-3,1722,2710,0
121,'╠╠╬╘-1',нюпг-3,1722,2710,1
122,'╠╠╬╘-2',нюпг-3,1724,2712,0
123,'╠╠╬╘-2',нюпг-3,1724,2712,1
124,'ю╔цВ-1',нюпг-145,1564,2778,0
125,'ю╔цВ-1',нюпг-145,1564,2778,1
126,'пш╟╡-1',нюпг-64,1593,2825,0
127,'пш╟╡-1',нюпг-64,1593,2825,1
128,'пш╟╡-2',нюпг-64,1594,2826,0
129,'пш╟╡-2',нюпг-64,1594,2826,1
130,'ю╪жщ-2',нюпг-55,1664,2841,0
131,'ю╪жщ-2',нюпг-55,1664,2841,1
132,'ио╨ё-1',нюпг-145,1673,2841,0
133,'ио╨ё-1',нюпг-145,1673,2841,1
134,'ио╨ё-2',нюпг-145,1674,2843,0
135,'ио╨ё-2',нюпг-145,1674,2843,1
136,'нзбЁд╬фК-2',нюпг-45,1673,2851,0
137,'нзбЁд╬фК-2',нюпг-45,1673,2851,1
138,'гЮ╣╨-1',нюпг-64,1654,2853,0
139,'гЮ╣╨-1',нюпг-64,1654,2853,1
140,'нзбЁд╬фК-1',нюпг-45,1675,2853,0
141,'нзбЁд╬фК-1',нюпг-45,1675,2853,1
142,'гЮ╣╨-2',нюпг-64,1655,2854,0
143,'гЮ╣╨-2',нюпг-64,1655,2854,1
144,'╧Ч╤Ш╠У-2',нюпг-3,1730,2860,0
145,'╧Ч╤Ш╠У-2',нюпг-3,1730,2860,1
146,'м╜╢╗-1',нюпг-55,1687,2872,0
147,'м╜╢╗-1',нюпг-55,1687,2872,1
148,'©Б╤Шюу-2',нюпг-45,1713,2895,0
149,'©Б╤Шюу-2',нюпг-45,1713,2895,1
150,'©╕й╡-2',нюпг-45,1745,2921,0
151,'©╕й╡-2',нюпг-45,1745,2921,1
152,'жьгЛ-2',нюпг-55,1783,2964,0
153,'жьгЛ-2',нюпг-55,1783,2964,1
154,'╪яд╬к╧-2',нюпг-64,1831,3074,0
155,'╪яд╬к╧-2',нюпг-64,1831,3074,1
156,'иНшз-2',нюпг-55,1920,3093,0
157,'иНшз-2',нюпг-55,1920,3093,1
158,'ю╜хЬ-2',нюпг-45,1942,3099,0
159,'ю╜хЬ-2',нюпг-45,1942,3099,1
160,'додЧ-2',нюпг-153,2133,3126,0
161,'додЧ-2',нюпг-153,2133,3126,1
162,'гьаК-2',нюпг-153,2187,3242,0
163,'гьаК-2',нюпг-153,2187,3242,1
164,'ю╪жщ-1',нюпг-72,2183,3325,0
165,'ю╪жщ-1',нюпг-72,2183,3325,1
166,'╪яд╬к╧-1',нюпг-81,2651,3569,0
167,'╪яд╬к╧-1',нюпг-81,2651,3569,1
168,'╨ёдо-1',нюпг-44,3007,3627,0
169,'╨ёдо-1',нюпг-44,3007,3627,1
170,'Ё╓╢╨-2',нюпг-144,2507,3728,0
171,'Ё╓╢╨-2',нюпг-144,2507,3728,1
172,'╧Ч╤Ш╠У-1',нюпг-63,2544,3786,0
173,'╧Ч╤Ш╠У-1',нюпг-63,2544,3786,1
174,'гьаК-1',нюпг-80,2810,3825,0
175,'гьаК-1',нюпг-80,2810,3825,1
176,'Ё╓╢╨-1',нюпг-54,2649,3827,0
177,'Ё╓╢╨-1',нюпг-54,2649,3827,1
178,'ю╜хЬ-1',нюпг-135,2651,3837,0
179,'ю╜хЬ-1',нюпг-135,2651,3837,1
180,'╨ёдо-2',нюпг-62,3059,3932,0
181,'╨ёдо-2',нюпг-62,3059,3932,1
182,'©Б╤Шюу-1',нюпг-53,2877,3982,0
183,'©Б╤Шюу-1',нюпг-53,2877,3982,1
184,'ю╔цВ-2',нюпг-135,2880,3984,0
185,'ю╔цВ-2',нюпг-135,2880,3984,1
186,'додЧ-1',нюпг-135,3005,4047,0
187,'додЧ-1',нюпг-135,3005,4047,1
188,'иНшз-1',нюпг-71,2822,4048,0
189,'иНшз-1',нюпг-71,2822,4048,1
190,'╬фх╙-2',нюпг-53,2903,4083,0
191,'╬фх╙-2',нюпг-53,2903,4083,1
192,'ю╪жщ-2',нюпг-43,3205,4126,0
193,'ю╪жщ-2',нюпг-43,3205,4126,1
194,'©╕й╡-1',нюпг-151,2956,4152,0
195,'©╕й╡-1',нюпг-151,2956,4152,1
196,'жьгЛ-2',нюпг-43,3379,4168,0
197,'жьгЛ-2',нюпг-43,3379,4168,1
198,'м╜╢╗-2',нюпг-53,3002,4177,0
199,'м╜╢╗-2',нюпг-53,3002,4177,1
200,'╠╠╬╘-2',нюпг-143,3083,4187,0
201,'╠╠╬╘-2',нюпг-143,3083,4187,1
202,'╠╠╬╘-1',нюпг-143,3084,4189,0
203,'╠╠╬╘-1',нюпг-143,3084,4189,1
204,'╬фх╙-1',нюпг-160,3039,4241,0
205,'╬фх╙-1',нюпг-160,3039,4241,1
206,'нзбЁд╬фК-2',нюпг-134,3226,4272,0
207,'нзбЁд╬фК-2',нюпг-134,3226,4272,1
208,'нзбЁд╬фК-1',нюпг-134,3227,4274,0
209,'нзбЁд╬фК-1',нюпг-134,3227,4274,1
210,'ио╨ё-1',нюпг-143,3213,4320,0
211,'ио╨ё-1',нюпг-143,3213,4320,1
212,'ио╨ё-2',нюпг-143,3214,4322,0
213,'ио╨ё-2',нюпг-143,3214,4322,1
214,'ю╔цВ-1',нюпг-53,3176,4358,0
215,'ю╔цВ-1',нюпг-53,3176,4358,1
216,'м╜╢╗-1',нюпг-160,3237,4369,0
217,'м╜╢╗-1',нюпг-160,3237,4369,1
218,'гЮ╣╨-1',нюпг-62,3206,4387,0
219,'гЮ╣╨-1',нюпг-62,3206,4387,1
220,'╪яд╬к╧-2',нюпг-52,3499,4449,0
221,'╪яд╬к╧-2',нюпг-52,3499,4449,1
222,'╧Ч╤Ш╠У-2',нюпг-71,3263,4482,0
223,'╧Ч╤Ш╠У-2',нюпг-71,3263,4482,1
224,'пш╟╡-1',нюпг-160,3297,4497,0
225,'пш╟╡-1',нюпг-160,3297,4497,1
226,'гЮ╣╨-2',нюпг-160,3397,4570,0
227,'гЮ╣╨-2',нюпг-160,3397,4570,1
228,'©╕й╡-2',нюпг-142,3335,4572,0
229,'©╕й╡-2',нюпг-142,3335,4572,1
230,'жьгЛ-1',нюпг-134,3692,4604,0
231,'жьгЛ-1',нюпг-134,3692,4604,1
232,'иНшз-2',нюпг-79,3524,4612,0
233,'иНшз-2',нюпг-79,3524,4612,1
234,'©Б╤Шюу-2',нюпг-142,3438,4676,0
235,'©Б╤Шюу-2',нюпг-142,3438,4676,1
236,'ю╜хЬ-2',нюпг-61,3470,4686,0
237,'ю╜хЬ-2',нюпг-61,3470,4686,1
238,'пш╟╡-2',нюпг-151,3487,4729,0
239,'пш╟╡-2',нюпг-151,3487,4729,1
240,'додЧ-2',нюпг-70,3516,4750,0
241,'додЧ-2',нюпг-70,3516,4750,1
242,'гьаК-2',нюпг-70,3588,4808,0
243,'гьаК-2',нюпг-70,3588,4808,1
244,'ю╪жщ-1',нюпг-70,3670,4861,0
245,'ю╪жщ-1',нюпг-70,3670,4861,1
246,'╨ёдо-1',нюпг-142,4019,5255,0
247,'╨ёдо-1',нюпг-142,4019,5255,1
248,'╪яд╬к╧-1',нюпг-70,4069,5298,0
249,'╪яд╬к╧-1',нюпг-70,4069,5298,1
250,'ю╜хЬ-1',нюпг-78,4215,5380,0
251,'ю╜хЬ-1',нюпг-78,4215,5380,1
252,'м╜╢╗-2',нюпг-87,4557,5411,0
253,'м╜╢╗-2',нюпг-87,4557,5411,1
254,'╧Ч╤Ш╠У-1',нюпг-168,4170,5413,0
255,'╧Ч╤Ш╠У-1',нюпг-168,4170,5413,1
256,'ю╔цВ-2',нюпг-133,4442,5443,0
257,'ю╔цВ-2',нюпг-133,4442,5443,1
258,'Ё╓╢╨-2',нюпг-78,4248,5444,0
259,'Ё╓╢╨-2',нюпг-78,4248,5444,1
260,'Ё╓╢╨-1',нюпг-78,4249,5446,0
261,'Ё╓╢╨-1',нюпг-78,4249,5446,1
262,'©Б╤Шюу-1',нюпг-41,4347,5469,0
263,'©Б╤Шюу-1',нюпг-41,4347,5469,1
264,'╨ёдо-2',нюпг-78,4272,5471,0
265,'╨ёдо-2',нюпг-78,4272,5471,1
266,'додЧ-1',нюпг-159,4412,5506,0
267,'додЧ-1',нюпг-159,4412,5506,1
268,'гьаК-1',нюпг-78,4361,5568,0
269,'гьаК-1',нюпг-78,4361,5568,1
270,'╬фх╙-2',нюпг-78,4453,5596,0
271,'╬фх╙-2',нюпг-78,4453,5596,1
272,'иНшз-1',нюпг-159,4477,5621,0
273,'иНшз-1',нюпг-159,4477,5621,1
274,'ю╪жщ-2',нюпг-150,4482,5677,0
275,'ю╪жщ-2',нюпг-150,4482,5677,1
276,'©╕й╡-1',нюпг-158,4498,5698,0
277,'©╕й╡-1',нюпг-158,4498,5698,1
278,'╬фх╙-1',нюпг-167,4584,5783,0
279,'╬фх╙-1',нюпг-167,4584,5783,1
280,'жьгЛ-2',нюпг-150,4592,5808,0
281,'жьгЛ-2',нюпг-150,4592,5808,1
282,'╠╠╬╘-1',нюпг-78,4594,5827,0
283,'╠╠╬╘-1',нюпг-78,4594,5827,1
284,'╠╠╬╘-2',нюпг-78,4596,5828,0
285,'╠╠╬╘-2',нюпг-78,4596,5828,1
286,'нзбЁд╬фК-2',нюпг-158,4626,5865,0
287,'нзбЁд╬фК-2',нюпг-158,4626,5865,1
288,'╪яд╬к╧-2',нюпг-87,4826,5886,0
289,'╪яд╬к╧-2',нюпг-87,4826,5886,1
290,'м╜╢╗-1',нюпг-167,4785,5926,0
291,'м╜╢╗-1',нюпг-167,4785,5926,1
292,'ио╨ё-2',нюпг-8,4764,5937,0
293,'ио╨ё-2',нюпг-8,4764,5937,1
294,'гЮ╣╨-1',нюпг-8,4801,5969,0
295,'гЮ╣╨-1',нюпг-8,4801,5969,1
296,'пш╟╡-1',нюпг-8,4877,6017,0
297,'пш╟╡-1',нюпг-8,4877,6017,1
298,'╧Ч╤Ш╠У-2',нюпг-69,4844,6083,0
299,'╧Ч╤Ш╠У-2',нюпг-69,4844,6083,1
300,'гЮ╣╨-2',нюпг-167,4935,6123,0
301,'гЮ╣╨-2',нюпг-167,4935,6123,1
302,'©╕й╡-2',нюпг-68,4932,6155,0
303,'©╕й╡-2',нюпг-68,4932,6155,1
304,'иНшз-2',нюпг-86,4999,6163,0
305,'иНшз-2',нюпг-86,4999,6163,1
306,'жьгЛ-1',нюпг-158,5032,6223,0
307,'жьгЛ-1',нюпг-158,5032,6223,1
308,'ю╜хЬ-2',нюпг-60,5057,6234,0
309,'ю╜хЬ-2',нюпг-60,5057,6234,1
310,'ю╔цВ-1',нюпг-77,5001,6238,0
311,'ю╔цВ-1',нюпг-77,5001,6238,1
312,'додЧ-2',нюпг-158,5167,6293,0
313,'додЧ-2',нюпг-158,5167,6293,1
314,'©Б╤Шюу-2',нюпг-68,5061,6299,0
315,'©Б╤Шюу-2',нюпг-68,5061,6299,1
316,'нзбЁд╬фК-1',нюпг-68,5105,6339,0
317,'нзбЁд╬фК-1',нюпг-68,5105,6339,1
318,'гьаК-2',нюпг-158,5219,6388,0
319,'гьаК-2',нюпг-158,5219,6388,1
320,'ю╪жщ-1',нюпг-68,5261,6461,0
321,'ю╪жщ-1',нюпг-68,5261,6461,1
322,'пш╟╡-2',нюпг-77,5336,6573,0
323,'пш╟╡-2',нюпг-77,5336,6573,1
324,'ио╨ё-1',нюпг-77,5358,6588,0
325,'ио╨ё-1',нюпг-77,5358,6588,1
326,'╧Ч╤Ш╠У-1',нюпг-17,5793,6650,0
327,'╧Ч╤Ш╠У-1',нюпг-17,5793,6650,1
328,'ю╜хЬ-1',нюпг-140,5744,6788,0
329,'ю╜хЬ-1',нюпг-140,5744,6788,1
330,'╪яд╬к╧-1',нюпг-7,5646,6829,0
331,'╪яд╬к╧-1',нюпг-7,5646,6829,1
332,'╨ёдо-1',нюпг-85,5658,6838,0
333,'╨ёдо-1',нюпг-85,5658,6838,1
334,'Ё╓╢╨-2',нюпг-6,5809,6926,0
335,'Ё╓╢╨-2',нюпг-6,5809,6926,1
336,'ю╔цВ-2',нюпг-59,5806,6948,0
337,'ю╔цВ-2',нюпг-59,5806,6948,1
338,'╨ёдо-2',нюпг-6,5824,6950,0
339,'╨ёдо-2',нюпг-6,5824,6950,1
340,'Ё╓╢╨-1',нюпг-76,5806,6955,0
341,'Ё╓╢╨-1',нюпг-76,5806,6955,1
342,'м╜╢╗-2',нюпг-157,5751,6988,0
343,'м╜╢╗-2',нюпг-157,5751,6988,1
344,'додЧ-1',нюпг-6,5902,7009,0
345,'додЧ-1',нюпг-6,5902,7009,1
346,'©Б╤Шюу-1',нюпг-67,5822,7062,0
347,'©Б╤Шюу-1',нюпг-67,5822,7062,1
348,'гьаК-1',нюпг-76,5914,7084,0
349,'гьаК-1',нюпг-76,5914,7084,1
350,'нзбЁд╬фК-2',нюпг-139,6343,7148,0
351,'нзбЁд╬фК-2',нюпг-139,6343,7148,1
352,'иНшз-1',нюпг-157,5992,7181,0
353,'иНшз-1',нюпг-157,5992,7181,1
354,'╬фх╙-2',нюпг-67,5969,7200,0
355,'╬фх╙-2',нюпг-67,5969,7200,1
356,'ио╨ё-2',нюпг-148,6336,7221,0
357,'ио╨ё-2',нюпг-148,6336,7221,1
358,'ю╪жщ-2',нюпг-67,6036,7228,0
359,'ю╪жщ-2',нюпг-67,6036,7228,1
360,'©╕й╡-1',нюпг-58,6186,7318,0
361,'©╕й╡-1',нюпг-58,6186,7318,1
362,'╠╠╬╘-1',нюпг-6,6171,7347,0
363,'╠╠╬╘-1',нюпг-6,6171,7347,1
364,'╠╠╬╘-2',нюпг-6,6172,7349,0
365,'╠╠╬╘-2',нюпг-6,6172,7349,1
366,'гЮ╣╨-1',нюпг-67,6314,7471,0
367,'гЮ╣╨-1',нюпг-67,6314,7471,1
368,'╪яд╬к╧-2',нюпг-6,6307,7482,0
369,'╪яд╬к╧-2',нюпг-6,6307,7482,1
370,'м╜╢╗-1',нюпг-165,6329,7483,0
371,'м╜╢╗-1',нюпг-165,6329,7483,1
372,'╬фх╙-1',нюпг-156,6329,7569,0
373,'╬фх╙-1',нюпг-156,6329,7569,1
374,'жьгЛ-1',нюпг-84,6593,7669,0
375,'жьгЛ-1',нюпг-84,6593,7669,1
376,'гЮ╣╨-2',нюпг-165,6468,7673,0
377,'гЮ╣╨-2',нюпг-165,6468,7673,1
378,'иНшз-2',нюпг-5,6508,7681,0
379,'иНшз-2',нюпг-5,6508,7681,1
380,'ю╔цВ-1',нюпг-5,6620,7691,0
381,'ю╔цВ-1',нюпг-5,6620,7691,1
382,'ю╜хЬ-2',нюпг-66,6578,7733,0
383,'ю╜хЬ-2',нюпг-66,6578,7733,1
384,'©Б╤Шюу-2',нюпг-75,6652,7743,0
385,'©Б╤Шюу-2',нюпг-75,6652,7743,1
386,'пш╟╡-1',нюпг-156,6541,7763,0
387,'пш╟╡-1',нюпг-156,6541,7763,1
388,'©╕й╡-2',нюпг-164,6555,7764,0
389,'©╕й╡-2',нюпг-164,6555,7764,1
390,'жьгЛ-2',нюпг-156,6553,7771,0
391,'жьгЛ-2',нюпг-156,6553,7771,1
392,'нзбЁд╬фК-1',нюпг-75,6703,7786,0
393,'нзбЁд╬фК-1',нюпг-75,6703,7786,1
394,'додЧ-2',нюпг-156,6682,7858,0
395,'додЧ-2',нюпг-156,6682,7858,1
396,'гьаК-2',нюпг-156,6735,7942,0
397,'гьаК-2',нюпг-156,6735,7942,1
398,'ю╪жщ-1',нюпг-66,6812,7994,0
399,'ю╪жщ-1',нюпг-66,6812,7994,1
400,'╧Ч╤Ш╠У-1',нюпг-84,6999,8128,0
401,'╧Ч╤Ш╠У-1',нюпг-84,6999,8128,1
402,'пш╟╡-2',нюпг-66,6997,8196,0
403,'пш╟╡-2',нюпг-66,6997,8196,1
404,'╨ёдо-2',нюпг-57,7315,8227,0
405,'╨ёдо-2',нюпг-57,7315,8227,1
406,'╨ёдо-1',нюпг-57,7317,8229,0
407,'╨ёдо-1',нюпг-57,7317,8229,1
408,'Ё╓╢╨-1',нюпг-57,7327,8257,0
409,'Ё╓╢╨-1',нюпг-57,7327,8257,1
410,'Ё╓╢╨-2',нюпг-57,7329,8259,0
411,'Ё╓╢╨-2',нюпг-57,7329,8259,1
412,'ю╜хЬ-1',нюпг-155,7131,8288,0
413,'ю╜хЬ-1',нюпг-155,7131,8288,1
414,'╧Ч╤Ш╠У-2',нюпг-75,7053,8295,0
415,'╧Ч╤Ш╠У-2',нюпг-75,7053,8295,1
416,'╪яд╬к╧-1',нюпг-66,7189,8431,0
417,'╪яд╬к╧-1',нюпг-66,7189,8431,1
418,'╠╠╬╘-2',нюпг-146,7774,8501,0
419,'╠╠╬╘-2',нюпг-146,7774,8501,1
420,'ю╔цВ-2',нюпг-74,7306,8519,0
421,'ю╔цВ-2',нюпг-74,7306,8519,1
422,'додЧ-1',нюпг-74,7381,8540,0
423,'додЧ-1',нюпг-74,7381,8540,1
424,'м╜╢╗-2',нюпг-4,7392,8558,0
425,'м╜╢╗-2',нюпг-4,7392,8558,1
426,'╬фх╙-2',нюпг-4,7540,8624,0
427,'╬фх╙-2',нюпг-4,7540,8624,1
428,'©Б╤Шюу-1',нюпг-56,7450,8636,0
429,'©Б╤Шюу-1',нюпг-56,7450,8636,1
430,'ио╨ё-1',нюпг-155,7436,8646,0
431,'ио╨ё-1',нюпг-155,7436,8646,1
432,'гьаК-1',нюпг-155,7492,8713,0
433,'гьаК-1',нюпг-155,7492,8713,1
434,'©╕й╡-1',нюпг-137,7725,8731,0
435,'©╕й╡-1',нюпг-137,7725,8731,1
436,'ю╪жщ-2',нюпг-65,7589,8764,0
437,'ю╪жщ-2',нюпг-65,7589,8764,1
438,'ио╨ё-2',нюпг-74,7673,8877,0
439,'ио╨ё-2',нюпг-74,7673,8877,1
440,'нзбЁд╬фК-2',нюпг-154,7682,8925,0
441,'нзбЁд╬фК-2',нюпг-154,7682,8925,1
442,'╠╠╬╘-1',нюпг-65,7784,8985,0
443,'╠╠╬╘-1',нюпг-65,7784,8985,1
444,'иНшз-1',нюпг-3,7813,8995,0
445,'иНшз-1',нюпг-3,7813,8995,1
446,'гЮ╣╨-1',нюпг-65,7866,9019,0
447,'гЮ╣╨-1',нюпг-65,7866,9019,1
448,'м╜╢╗-1',нюпг-163,7866,9040,0
449,'м╜╢╗-1',нюпг-163,7866,9040,1
450,'ю╜хЬ-2',нюпг-3,8074,9046,0
451,'ю╜хЬ-2',нюпг-3,8074,9046,1
452,'╪яд╬к╧-2',нюпг-74,7868,9110,0
453,'╪яд╬к╧-2',нюпг-74,7868,9110,1
454,'иНшз-2',нюпг-163,8160,9112,0
455,'иНшз-2',нюпг-163,8160,9112,1
456,'ю╔цВ-1',нюпг-73,8079,9276,0
457,'ю╔цВ-1',нюпг-73,8079,9276,1
458,'╬фх╙-1',нюпг-3,8172,9285,0
459,'╬фх╙-1',нюпг-3,8172,9285,1
460,'жьгЛ-1',нюпг-154,8077,9310,0
461,'жьгЛ-1',нюпг-154,8077,9310,1
462,'©╕й╡-2',нюпг-55,8140,9319,0
463,'©╕й╡-2',нюпг-55,8140,9319,1
464,'нзбЁд╬фК-1',нюпг-73,8179,9321,0
465,'нзбЁд╬фК-1',нюпг-73,8179,9321,1
466,'©Б╤Шюу-2',нюпг-64,8111,9351,0
467,'©Б╤Шюу-2',нюпг-64,8111,9351,1
468,'гЮ╣╨-2',нюпг-154,8166,9354,0
469,'гЮ╣╨-2',нюпг-154,8166,9354,1
470,'додЧ-2',нюпг-154,8198,9410,0
471,'додЧ-2',нюпг-154,8198,9410,1
472,'╨ёдо-1',нюпг-90,8581,9419,0
473,'╨ёдо-1',нюпг-90,8581,9419,1
474,'╨ёдо-2',нюпг-90,8584,9420,0
475,'╨ёдо-2',нюпг-90,8584,9420,1
476,'пш╟╡-1',нюпг-82,8303,9451,0
477,'пш╟╡-1',нюпг-82,8303,9451,1
478,'ю╪жщ-1',нюпг-64,8367,9533,0
479,'ю╪жщ-1',нюпг-64,8367,9533,1
480,'гьаК-2',нюпг-2,8478,9658,0
481,'гьаК-2',нюпг-2,8478,9658,1
482,'пш╟╡-2',нюпг-64,8542,9738,0
483,'пш╟╡-2',нюпг-64,8542,9738,1
484,'Ё╓╢╨-1',нюпг-145,8622,9771,0
485,'Ё╓╢╨-1',нюпг-145,8622,9771,1
486,'Ё╓╢╨-2',нюпг-145,8623,9773,0
487,'Ё╓╢╨-2',нюпг-145,8623,9773,1
488,'©╕й╡-1',нюпг-2,9081,9816,0
489,'©╕й╡-1',нюпг-2,9081,9816,1
490,'╧Ч╤Ш╠У-1',нюпг-73,8578,9821,0
491,'╧Ч╤Ш╠У-1',нюпг-73,8578,9821,1
492,'ю╜хЬ-1',нюпг-153,8656,9847,0
493,'ю╜хЬ-1',нюпг-153,8656,9847,1
494,'╧Ч╤Ш╠У-2',нюпг-64,8675,9915,0
495,'╧Ч╤Ш╠У-2',нюпг-64,8675,9915,1
496,'жьгЛ-2',нюпг-81,8809,9987,0
497,'жьгЛ-2',нюпг-81,8809,9987,1
